NUM_THREADS,BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
1,1,1,1,0.000542
1,1,1,2,0.000531
1,1,1,3,0.000526
1,1,21,1,0.000547
1,1,21,2,0.000531
1,1,21,3,0.000541
1,1,41,1,0.000542
1,1,41,2,0.000549
1,1,41,3,0.000571
1,1,61,1,0.000564
1,1,61,2,0.000547
1,1,61,3,0.000536
1,1,81,1,0.000552
1,1,81,2,0.000550
1,1,81,3,0.000530
1,1,101,1,0.000592
1,1,101,2,0.000533
1,1,101,3,0.000587
1,1,121,1,0.000543
1,1,121,2,0.000526
1,1,121,3,0.000550
1,1,141,1,0.000532
1,1,141,2,0.000563
1,1,141,3,0.000546
1,1,161,1,0.000639
1,1,161,2,0.000611
1,1,161,3,0.000567
1,1,181,1,0.000584
1,1,181,2,0.000556
1,1,181,3,0.000456
1,1,201,1,0.000472
1,1,201,2,0.000574
1,1,201,3,0.000514
1,1,221,1,0.000606
1,1,221,2,0.000612
1,1,221,3,0.000516
1,1,241,1,0.000495
1,1,241,2,0.000495
1,1,241,3,0.000467
1,1,261,1,0.000570
1,1,261,2,0.000469
1,1,261,3,0.000605
1,1,281,1,0.000538
1,1,281,2,0.000454
1,1,281,3,0.000569
1,1,301,1,0.000539
1,1,301,2,0.000568
1,1,301,3,0.000565
1,1,321,1,0.000549
1,1,321,2,0.000567
1,1,321,3,0.000551
1,1,341,1,0.000526
1,1,341,2,0.000540
1,1,341,3,0.000597
1,1,361,1,0.000570
1,1,361,2,0.000585
1,1,361,3,0.000544
1,1,381,1,0.000551
1,1,381,2,0.000583
1,1,381,3,0.000559
1,1,401,1,0.000596
1,1,401,2,0.000570
1,1,401,3,0.000555
1,1,421,1,0.000528
1,1,421,2,0.000558
1,1,421,3,0.000538
1,1,441,1,0.000545
1,1,441,2,0.000574
1,1,441,3,0.000575
1,1,461,1,0.000585
1,1,461,2,0.000544
1,1,461,3,0.000568
1,1,481,1,0.000559
1,1,481,2,0.000563
1,1,481,3,0.000549
1,1,501,1,0.000543
1,1,501,2,0.000542
1,1,501,3,0.000517
1,1,521,1,0.000567
1,1,521,2,0.000524
1,1,521,3,0.000546
1,1,541,1,0.000579
1,1,541,2,0.000568
1,1,541,3,0.000510
1,1,561,1,0.000554
1,1,561,2,0.000563
1,1,561,3,0.000565
1,1,581,1,0.000580
1,1,581,2,0.000547
1,1,581,3,0.000505
1,1,601,1,0.000565
1,1,601,2,0.000593
1,1,601,3,0.000543
1,1,621,1,0.000567
1,1,621,2,0.000582
1,1,621,3,0.000551
1,1,641,1,0.000606
1,1,641,2,0.000610
1,1,641,3,0.000571
1,1,661,1,0.000595
1,1,661,2,0.000567
1,1,661,3,0.000552
1,1,681,1,0.000529
1,1,681,2,0.000591
1,1,681,3,0.000537
1,1,701,1,0.000560
1,1,701,2,0.000622
1,1,701,3,0.000580
1,1,721,1,0.000575
1,1,721,2,0.000544
1,1,721,3,0.000549
1,1,741,1,0.000619
1,1,741,2,0.000594
1,1,741,3,0.000570
1,1,761,1,0.000558
1,1,761,2,0.000547
1,1,761,3,0.000531
1,1,781,1,0.000587
1,1,781,2,0.000559
1,1,781,3,0.000554
1,1,801,1,0.000553
1,1,801,2,0.000584
1,1,801,3,0.000592
1,1,821,1,0.000578
1,1,821,2,0.000579
1,1,821,3,0.000587
1,1,841,1,0.000589
1,1,841,2,0.000594
1,1,841,3,0.000568
1,1,861,1,0.000596
1,1,861,2,0.000527
1,1,861,3,0.000500
1,1,881,1,0.000464
1,1,881,2,0.000484
1,1,881,3,0.000591
1,1,901,1,0.000619
1,1,901,2,0.000553
1,1,901,3,0.000618
1,1,921,1,0.000537
1,1,921,2,0.000585
1,1,921,3,0.000617
1,1,941,1,0.000527
1,1,941,2,0.000543
1,1,941,3,0.000508
1,1,961,1,0.000550
1,1,961,2,0.000572
1,1,961,3,0.000556
1,1,981,1,0.000524
1,1,981,2,0.000567
1,1,981,3,0.000536
1,3,1,1,0.000488
