BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
,20000,1,4.970245
,20000,2,5.470583
,20000,3,18.460875
,20000,4,18.771761
,22000,1,9.492006
,22000,2,18.507363
,22000,3,2.838652
,22000,4,11.687377
,24000,1,8.177788
,24000,2,8.976291
,24000,3,4.146343
,24000,4,2.872699
,26000,1,10.550082
,26000,2,5.331402
,26000,3,8.156377
,26000,4,5.693069
,28000,1,7.768447
,28000,2,6.867478
,28000,3,3.815409
,28000,4,6.293857
,30000,1,11.691496
,30000,2,4.699687
,30000,3,8.177776
,30000,4,17.845211
,32000,1,10.794937
,32000,2,5.700026
,32000,3,5.010272
,32000,4,6.022498
,34000,1,10.194614
,34000,2,9.960802
,34000,3,10.138601
,34000,4,9.396759
,36000,1,9.420250
,36000,2,3.909329
,36000,3,6.689890
,36000,4,8.723650
,38000,1,9.115331
,38000,2,4.607736
,38000,3,3.520531
,38000,4,11.452220
,40000,1,9.708917
,40000,2,14.555130
,40000,3,4.803979
,40000,4,6.434142
,42000,1,8.330545
,42000,2,5.263351
,42000,3,7.596227
,42000,4,3.295663
,44000,1,3.668794
,44000,2,3.852418
,44000,3,8.375745
,44000,4,10.037175
,46000,1,2.208690
,46000,2,7.317398
,46000,3,10.177740
,46000,4,8.995395
,48000,1,13.438743
,48000,2,6.641672
,48000,3,12.364257
,48000,4,7.502701
,50000,1,5.982953
,50000,2,3.895861
,50000,3,4.722057
,50000,4,11.280965
