NUM_THREADS,BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
1,1,1000,1,0.000456
1,1,1000,2,0.000462
1,1,1000,3,0.000444
1,1,1200,1,0.000476
1,1,1200,2,0.000451
1,1,1200,3,0.000437
1,1,1400,1,0.000471
1,1,1400,2,0.000450
1,1,1400,3,0.000430
1,1,1600,1,0.000460
1,1,1600,2,0.000444
1,1,1600,3,0.000437
1,1,1800,1,0.000476
1,1,1800,2,0.000441
1,1,1800,3,0.000458
1,1,2000,1,0.000433
1,1,2000,2,0.000450
1,1,2000,3,0.000469
1,1,2200,1,0.000439
1,1,2200,2,0.000453
1,1,2200,3,0.000440
1,1,2400,1,0.000444
1,1,2400,2,0.000434
1,1,2400,3,0.000451
1,1,2600,1,0.000443
1,1,2600,2,0.000446
1,1,2600,3,0.000455
1,1,2800,1,0.000466
1,1,2800,2,0.000450
1,1,2800,3,0.000485
1,1,3000,1,0.000463
1,1,3000,2,0.000446
1,1,3000,3,0.000482
1,1,3200,1,0.000463
1,1,3200,2,0.000444
1,1,3200,3,0.000486
1,1,3400,1,0.000461
1,1,3400,2,0.000444
1,1,3400,3,0.000495
1,1,3600,1,0.000464
1,1,3600,2,0.000450
1,1,3600,3,0.000484
1,1,3800,1,0.000464
1,1,3800,2,0.000450
1,1,3800,3,0.000480
1,1,4000,1,0.000460
1,1,4000,2,0.000449
1,1,4000,3,0.000461
1,1,4200,1,0.000480
1,1,4200,2,0.000455
1,1,4200,3,0.000499
1,1,4400,1,0.000472
1,1,4400,2,0.000457
1,1,4400,3,0.000480
1,1,4600,1,0.000484
1,1,4600,2,0.000463
1,1,4600,3,0.000497
1,1,4800,1,0.000471
1,1,4800,2,0.000459
1,1,4800,3,0.000495
1,1,5000,1,0.000481
1,1,5000,2,0.000457
1,1,5000,3,0.000489
1,3,1000,1,0.000458
1,3,1000,2,0.000456
1,3,1000,3,0.000455
1,3,1200,1,0.000437
1,3,1200,2,0.000450
1,3,1200,3,0.000460
1,3,1400,1,0.000454
1,3,1400,2,0.000446
1,3,1400,3,0.000447
1,3,1600,1,0.000448
1,3,1600,2,0.000458
1,3,1600,3,0.000451
1,3,1800,1,0.000481
1,3,1800,2,0.000457
1,3,1800,3,0.000445
1,3,2000,1,0.000445
1,3,2000,2,0.000453
1,3,2000,3,0.000446
