BASE,NUM_THREADS,RUN,RUN_TIME
5,1,1,0.000469
5,1,2,0.000453
5,1,3,0.000445
5,1,4,0.000438
5,1,5,0.000434
5,1,6,0.000440
5,1,7,0.000449
5,1,8,0.000451
5,1,9,0.000436
5,1,10,0.000440
5,2,1,0.000558
5,2,2,0.000474
5,2,3,0.000465
5,2,4,0.000482
5,2,5,0.000483
5,2,6,0.000474
5,2,7,0.000514
5,2,8,0.000481
5,2,9,0.000482
5,2,10,0.000486
5,4,1,0.000556
5,4,2,0.000544
5,4,3,0.000542
5,4,4,0.000600
5,4,5,0.000574
5,4,6,0.000563
5,4,7,0.000546
5,4,8,0.000562
5,4,9,0.000533
5,4,10,0.000606
5,8,1,0.000639
5,8,2,0.000671
5,8,3,0.000718
5,8,4,0.000668
5,8,5,0.000673
5,8,6,0.000661
5,8,7,0.000678
5,8,8,0.000634
5,8,9,0.000667
5,8,10,0.000676
5,16,1,0.000978
5,16,2,0.000997
5,16,3,0.000907
5,16,4,0.000951
5,16,5,0.001008
5,16,6,0.000934
5,16,7,0.000921
5,16,8,0.001012
5,16,9,0.000998
5,16,10,0.000912
5,32,1,0.001794
5,32,2,0.001751
5,32,3,0.001870
5,32,4,0.001815
5,32,5,0.001812
5,32,6,0.001792
5,32,7,0.001802
5,32,8,0.001792
5,32,9,0.001776
5,32,10,0.001719
6,1,1,0.801973
6,1,2,0.801604
6,1,3,0.801689
6,1,4,0.801361
6,1,5,0.801606
6,1,6,0.801442
6,1,7,0.801534
6,1,8,0.801323
6,1,9,0.801308
6,1,10,0.801706
6,2,1,1.147928
6,2,2,0.519580
6,2,3,0.292937
6,2,4,1.217084
6,2,5,1.064400
6,2,6,1.525211
6,2,7,1.074793
6,2,8,1.571842
6,2,9,1.944379
6,2,10,0.609506
6,4,1,1.051820
6,4,2,0.479410
6,4,3,0.794775
6,4,4,0.292339
6,4,5,0.714081
6,4,6,0.993198
6,4,7,0.983861
6,4,8,0.476880
6,4,9,0.823861
6,4,10,0.267665
6,8,1,0.284269
6,8,2,0.381273
6,8,3,0.446658
6,8,4,0.476544
6,8,5,0.356587
6,8,6,0.479050
6,8,7,0.146397
6,8,8,0.257545
6,8,9,1.191047
6,8,10,0.224548
6,16,1,0.230027
6,16,2,0.757187
6,16,3,0.490786
6,16,4,0.194403
6,16,5,0.764867
6,16,6,0.174280
6,16,7,0.478465
6,16,8,0.343626
6,16,9,0.296164
6,16,10,0.758401
6,32,1,0.292930
6,32,2,0.495272
6,32,3,0.466156
6,32,4,1.208112
6,32,5,0.548008
6,32,6,0.356130
6,32,7,0.259121
6,32,8,0.488678
6,32,9,0.260633
6,32,10,1.206685
8,1,1,43.882372
8,1,2,43.876402
8,1,3,43.887563
8,1,4,43.909292
8,1,5,43.876564
8,1,6,43.917983
8,1,7,43.886728
8,1,8,43.871450
8,1,9,43.870669
8,1,10,43.924969
8,2,1,29.336350
8,2,2,21.772507
8,2,3,20.981688
8,2,4,25.652724
8,2,5,32.637031
8,2,6,37.485700
8,2,7,39.155922
8,2,8,23.901146
8,2,9,42.622519
8,2,10,27.428626
8,4,1,25.859998
8,4,2,20.542899
8,4,3,18.052131
8,4,4,18.123261
8,4,5,18.279163
8,4,6,17.899361
8,4,7,26.377189
8,4,8,20.836733
8,4,9,17.809633
8,4,10,19.694826
8,8,1,14.122368
8,8,2,17.546010
8,8,3,11.889090
8,8,4,17.470549
8,8,5,20.293351
8,8,6,14.409831
8,8,7,20.872949
8,8,8,21.210565
8,8,9,18.644610
8,8,10,17.516377
8,16,1,17.555257
8,16,2,18.900397
8,16,3,17.661089
8,16,4,18.778289
8,16,5,17.713426
8,16,6,18.154911
8,16,7,17.781605
8,16,8,17.589915
8,16,9,17.536031
8,16,10,17.624361
8,32,1,17.748107
8,32,2,17.628590
8,32,3,11.663277
8,32,4,17.715966
8,32,5,17.768280
8,32,6,17.782287
8,32,7,11.516652
8,32,8,17.766924
8,32,9,17.853240
8,32,10,17.935036
