BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
50,1000,1,1.197060
50,1000,2,1.197502
50,1000,3,1.211664
50,1000,4,0.663165
50,1000,5,1.209950
50,1000,6,1.656795
50,1200,1,1.218741
50,1200,2,0.655000
50,1200,3,1.212352
50,1200,4,1.214021
50,1200,5,0.660085
50,1200,6,1.195582
50,1400,1,1.211450
50,1400,2,0.756733
50,1400,3,0.662334
50,1400,4,1.201636
50,1400,5,0.443058
50,1400,6,0.659926
50,1600,1,0.342123
50,1600,2,1.213922
50,1600,3,0.341056
50,1600,4,0.758517
50,1600,5,0.658148
50,1600,6,0.671739
50,1800,1,0.696557
50,1800,2,0.345706
50,1800,3,0.661627
50,1800,4,0.752689
50,1800,5,0.569985
50,1800,6,0.180394
50,2000,1,0.594204
50,2000,2,0.762714
50,2000,3,0.483682
50,2000,4,0.484827
50,2000,5,0.757728
50,2000,6,0.191138
50,2200,1,0.658153
50,2200,2,0.497407
50,2200,3,0.228864
50,2200,4,0.762548
50,2200,5,0.762026
50,2200,6,0.777983
50,2400,1,0.349045
50,2400,2,0.458691
50,2400,3,0.346624
50,2400,4,0.466359
50,2400,5,0.455089
50,2400,6,0.617602
50,2600,1,0.217212
50,2600,2,0.515992
50,2600,3,0.267597
50,2600,4,0.380831
50,2600,5,0.515406
50,2600,6,0.275224
50,2800,1,0.587967
50,2800,2,0.545783
50,2800,3,0.132976
50,2800,4,0.276453
50,2800,5,0.217787
50,2800,6,0.571952
50,3000,1,0.365666
50,3000,2,0.168022
50,3000,3,0.458288
50,3000,4,0.477132
50,3000,5,0.197833
50,3000,6,0.244185
50,3200,1,0.770639
50,3200,2,0.587628
50,3200,3,0.172562
50,3200,4,0.528813
50,3200,5,0.322124
50,3200,6,0.351488
50,3400,1,0.155502
50,3400,2,0.256617
50,3400,3,0.473128
50,3400,4,0.653321
50,3400,5,0.108893
50,3400,6,0.566721
50,3600,1,0.665087
50,3600,2,0.467348
50,3600,3,0.354843
50,3600,4,0.258491
50,3600,5,0.554269
50,3600,6,0.163018
